emp_no,last_name,first_name,gender,salary,to_date
10001,Facello,Georgi,M,60117,9999-01-01
10149,Perry,Xiadong,F,88740,1996-08-27
10150,Perng,Zhenbing,F,70122,9999-01-01
10152,Munro,Jaques,F,40000,1987-08-03
10153,Majewski,Heekeun,M,54246,9999-01-01
10157,Aloisi,Nigel,M,48770,9999-01-01
10161,Mellouli,Hairong,F,43149,1994-01-05
10186,Kropatsch,Shigehito,M,40000,1997-08-16
10198,Furedi,Pranav,M,44076,9999-01-01
10215,Duclos,Xiaobin,M,43944,9999-01-01
10217,Roison,Yongmin,F,40000,1993-08-05
10224,Trogemann,Leon,M,40000,9999-01-01
10229,Takanami,Ulises,M,58321,2000-06-30
10233,Vendrig,Lein,F,40000,9999-01-01
10258,Ishibashi,Basil,F,66280,9999-01-01
10272,Cannane,Yishai,M,58070,9999-01-01
10282,Benzmuller,Hercules,M,40000,9999-01-01
10283,Birjandi,Kauko,M,40000,9999-01-01
10286,Gopalakrishnan,Saddek,F,40000,1999-01-24
10302,Baer,Faiza,F,58239,1999-11-09
10305,Piancastelli,Hirochika,M,52550,1992-06-02
10326,Czap,Masali,F,40000,9999-01-01
10327,Facello,Roded,M,54734,1988-05-10
10327,Facello,Roded,M,54734,1993-05-22
10340,Laventhal,Djelloul,M,68132,9999-01-01
10347,Kaminger,Pradeep,M,42199,9999-01-01
10355,Cochrane,Satyanarayana,M,70434,9999-01-01
10356,Standera,Vasilis,M,45376,9999-01-01
10363,Muniz,Toshiki,F,40401,1987-05-18
10363,Muniz,Toshiki,F,40401,1993-02-12
10364,Dengi,Nakhoon,M,51401,9999-01-01
10372,Frijda,Anneli,F,54505,9999-01-01
10387,Wrigley,Parto,F,61374,9999-01-01
10395,Deverell,Takahiro,M,42774,2001-08-13
10396,Rahier,Sibyl,M,40393,9999-01-01
10402,Ebeling,Volkmar,M,40000,9999-01-01
10404,Rosti,Prodip,F,51647,9999-01-01
10426,Luce,Arunas,F,65757,9999-01-01
