emp_no,first_name,last_name,title,from_date,to_date,hire_date,birth_date
10009,Sumant,Peac,Senior Engineer,1995-02-18,9999-01-01,1985-02-18,1952-04-19
10070,Reuven,Garigliano,Technique Leader,1985-10-14,9999-01-01,1985-10-14,1955-08-20
10076,Erez,Ritzmann,Senior Engineer,1996-07-15,9999-01-01,1985-07-09,1952-06-13
10126,Kayoko,Valtorta,Senior Staff,1991-09-08,9999-01-01,1985-09-08,1954-08-07
10129,Armond,Peir,Technique Leader,1996-01-16,9999-01-01,1985-12-10,1955-12-02
10157,Nigel,Aloisi,Senior Engineer,1997-12-10,9999-01-01,1985-11-02,1954-04-23
10198,Pranav,Furedi,Senior Engineer,1993-08-31,9999-01-01,1985-08-31,1953-05-28
10233,Lein,Vendrig,Senior Staff,2000-04-28,9999-01-01,1985-07-05,1954-04-01
10258,Basil,Ishibashi,Senior Engineer,1997-05-16,9999-01-01,1985-05-17,1955-12-12
10326,Masali,Czap,Staff,1998-09-02,9999-01-01,1985-05-13,1953-02-13
10347,Pradeep,Kaminger,Staff,1998-02-20,9999-01-01,1985-12-12,1953-10-03
10364,Nakhoon,Dengi,Senior Engineer,1985-11-14,9999-01-01,1985-11-14,1954-09-21
10372,Anneli,Frijda,Technique Leader,1985-07-30,9999-01-01,1985-07-30,1952-04-08
10426,Arunas,Luce,Technique Leader,1985-07-06,9999-01-01,1985-07-06,1955-12-28
10432,Hisao,Tiemann,Senior Staff,1996-08-12,9999-01-01,1985-04-30,1953-11-06
10453,Tsvetan,Matzel,Senior Staff,1993-04-02,9999-01-01,1985-04-02,1953-07-19
10628,Krisda,Krogh,Senior Engineer,2001-03-14,9999-01-01,1985-09-11,1954-04-18
10702,Bader,Szemeredi,Senior Engineer,1991-01-14,9999-01-01,1985-07-23,1952-11-25
10726,Zita,Minakawa,Senior Engineer,2001-02-24,9999-01-01,1985-09-01,1954-01-11
10734,Sachar,Erdi,Engineer,1995-12-19,9999-01-01,1985-04-03,1954-07-06
10749,King,Brendel,Senior Engineer,1990-09-26,9999-01-01,1985-09-26,1955-08-21
10768,Ishfaq,Candan,Senior Engineer,1990-07-04,9999-01-01,1985-07-04,1955-06-24
10795,Supot,Naudin,Senior Staff,1999-05-03,9999-01-01,1985-05-21,1954-12-14
10835,Tomoyuki,Kermarrec,Engineer,1995-08-22,9999-01-01,1985-07-28,1952-11-23
10836,Jianhua,Leivant,Senior Staff,1987-08-10,9999-01-01,1985-07-26,1953-07-15
10848,Fen,Bratsberg,Senior Engineer,1992-04-20,9999-01-01,1985-04-20,1954-07-16
10879,Muzhong,Chleq,Senior Engineer,1985-08-15,9999-01-01,1985-08-15,1953-08-18
10909,Georgi,Atchley,Senior Engineer,2000-12-26,9999-01-01,1985-04-21,1954-11-11
10927,Gal,Scallan,Senior Staff,1993-09-12,9999-01-01,1985-10-26,1953-03-13
10974,Muneo,Papsdorf,Senior Engineer,1999-05-17,9999-01-01,1985-11-25,1952-03-07
10986,Masako,Schiper,Technique Leader,1985-10-11,9999-01-01,1985-10-11,1954-08-11
10988,Chinya,Deyuan,Senior Engineer,1985-06-19,9999-01-01,1985-06-19,1955-06-24
10989,Sumali,Candan,Senior Staff,1991-07-20,9999-01-01,1985-07-20,1954-09-08
11019,Leon,Huttel,Senior Engineer,1997-05-24,9999-01-01,1985-02-04,1954-09-06
11021,Srinidhi,Henders,Staff,1998-02-02,9999-01-01,1985-05-24,1954-07-13
11031,Ottavia,Walstra,Senior Staff,1993-10-24,9999-01-01,1985-04-26,1954-12-20
11038,Jinya,Beidas,Senior Staff,1992-07-15,9999-01-01,1985-07-15,1955-10-13
11048,Jaques,Demke,Senior Staff,1999-05-27,9999-01-01,1985-02-26,1952-10-26
11051,Przemyslawa,Erol,Senior Engineer,2000-03-26,9999-01-01,1985-08-09,1952-10-06
11070,Adib,Raney,Senior Engineer,1991-07-24,9999-01-01,1985-07-24,1952-06-30
11081,Barry,Boyle,Senior Staff,1994-06-17,9999-01-01,1985-06-17,1952-06-20
11106,Aris,Iwayama,Senior Engineer,1997-08-30,9999-01-01,1985-08-31,1955-02-23
11113,Shahab,Peng,Senior Staff,1991-11-30,9999-01-01,1985-11-30,1953-04-28
11139,Bogdan,Homond,Senior Staff,1995-05-11,9999-01-01,1985-12-24,1955-10-13
11148,Zhanqiu,Botman,Senior Staff,1997-02-08,9999-01-01,1985-07-06,1953-01-23
11162,Kauko,Narlikar,Senior Engineer,1990-03-28,9999-01-01,1985-03-28,1953-03-25
11204,Diederik,Covnot,Technique Leader,1985-09-18,9999-01-01,1985-09-18,1955-12-15
11211,Yurij,Rissland,Senior Engineer,1985-09-17,9999-01-01,1985-09-17,1952-12-11
11249,Randi,Cyre,Engineer,1994-09-22,9999-01-01,1985-08-29,1954-10-01
11251,Bezalel,Chinal,Senior Staff,1993-06-15,9999-01-01,1985-11-26,1955-10-16
11268,Aimee,Petersohn,Senior Engineer,1995-10-25,9999-01-01,1985-05-17,1954-05-14
11290,Visit,Dredge,Engineer,1999-05-13,9999-01-01,1985-09-08,1953-05-07
11295,Abdelkader,Lanzelotte,Senior Staff,1990-05-15,9999-01-01,1985-05-15,1953-02-03
11322,Nathalie,Pocchiola,Senior Engineer,1999-07-08,9999-01-01,1985-02-08,1952-07-19
11324,Kauko,Billingsley,Senior Engineer,1985-08-29,9999-01-01,1985-08-29,1953-11-16
11393,Junsik,Junot,Senior Engineer,1992-04-30,9999-01-01,1985-04-30,1954-05-17
11518,Jinxi,Oxman,Senior Staff,1999-09-22,9999-01-01,1985-07-03,1953-07-21
11603,Herb,Swen,Senior Staff,1994-04-13,9999-01-01,1985-04-13,1954-12-07
11676,Valeri,Ferriere,Engineer,1998-07-15,9999-01-01,1985-03-16,1952-04-12
11696,Dante,Rothe,Senior Staff,1994-10-23,9999-01-01,1985-10-23,1954-10-26
11732,Sanjoy,Ranft,Senior Engineer,1996-12-22,9999-01-01,1985-08-11,1955-06-14
11864,Pradeep,Kriebel,Staff,1995-11-02,9999-01-01,1985-11-12,1952-06-14
11949,Martijn,Harbusch,Technique Leader,1985-03-11,9999-01-01,1985-03-11,1953-01-27
12062,Margareta,Worfolk,Senior Staff,1996-01-04,9999-01-01,1985-02-03,1954-01-20
12069,Ayonca,Burnard,Senior Engineer,1995-05-13,9999-01-01,1985-05-13,1953-12-27
12076,Karlis,Siprelle,Senior Staff,1985-03-25,9999-01-01,1985-03-25,1955-03-16
12159,Shem,Perly,Senior Engineer,1985-07-17,9999-01-01,1985-07-17,1955-08-15
12165,Xiaobin,Maquelin,Senior Engineer,1994-08-29,9999-01-01,1985-04-27,1952-11-19
12192,Feiyu,Klyachko,Senior Engineer,1991-09-02,9999-01-01,1985-03-16,1954-11-06
12206,Barton,Janetzko,Senior Engineer,2001-03-27,9999-01-01,1985-03-27,1954-11-21
12218,Yaghout,Strooper,Senior Engineer,2000-03-11,9999-01-01,1985-02-18,1954-08-01
12221,Vincent,Melter,Senior Engineer,1991-09-16,9999-01-01,1985-09-16,1955-07-14
12247,Subbu,Penttonen,Technique Leader,1985-04-09,9999-01-01,1985-04-09,1952-03-26
12256,Guadalupe,Reghbati,Senior Staff,1992-08-26,9999-01-01,1985-08-26,1955-02-15
